"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Poland","2013","450310","Corks and stoppers, natural cork","Import","650872","48355","Weight in kilograms","48355"
"Poland","2013","450390","Natural cork articles other than corks or stoppers","Export","325233","57737","Weight in kilograms","57737"
"Poland","2013","450390","Natural cork articles other than corks or stoppers","Import","220731","26432","Weight in kilograms","26432"
"Poland","2013","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","8545768","1958505","Weight in kilograms","1958505"
"Poland","2013","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","4694605","1428700","Weight in kilograms","1428700"
"Poland","2013","450490","Articles of agglomerated cork","Import","1683054","206742","Weight in kilograms","206742"
"Poland","2013","450490","Articles of agglomerated cork","Export","998126","196508","Weight in kilograms","196508"
"Poland","2012","450110","Natural cork, raw or simply prepared","Import","39220","9807","Weight in kilograms","9807"
"Poland","2012","450110","Natural cork, raw or simply prepared","Export","764","180","Weight in kilograms","180"
"Poland","2012","450190","Waste cork, crushed, granulated or ground","Import","341153","131338","Weight in kilograms","131338"
"Poland","2012","450190","Waste cork, crushed, granulated or ground","Export","14472","3148","Weight in kilograms","3148"
"Poland","2012","450200","Natural cork, debacked, roughly squared, in blocks et","Import","95714","40860","Weight in kilograms","40860"
"Poland","2012","450200","Natural cork, debacked, roughly squared, in blocks et","Export","146607","47878","Weight in kilograms","47878"
"Poland","2012","450310","Corks and stoppers, natural cork","Import","682795","60714","Weight in kilograms","60714"
"Poland","2012","450310","Corks and stoppers, natural cork","Export","119221","8746","Weight in kilograms","8746"
"Poland","2012","450390","Natural cork articles other than corks or stoppers","Import","188132","27809","Weight in kilograms","27809"
"Poland","2012","450390","Natural cork articles other than corks or stoppers","Export","391565","57384","Weight in kilograms","57384"
"Poland","2012","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","8616755","2611342","Weight in kilograms","2611342"
"Poland","2012","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","4638255","1380008","Weight in kilograms","1380008"
"Poland","2012","450490","Articles of agglomerated cork","Import","1506945","231474","Weight in kilograms","231474"
"Poland","2012","450490","Articles of agglomerated cork","Export","809517","257013","Weight in kilograms","257013"
"Poland","2011","450110","Natural cork, raw or simply prepared","Import","89997","22073","Weight in kilograms","22073"
"Poland","2011","450190","Waste cork, crushed, granulated or ground","Import","241403","77661","Weight in kilograms","77661"
"Poland","2011","450190","Waste cork, crushed, granulated or ground","Export","73","12","Weight in kilograms","12"
"Poland","2011","450200","Natural cork, debacked, roughly squared, in blocks et","Import","182579","57832","Weight in kilograms","57832"
"Poland","2011","450200","Natural cork, debacked, roughly squared, in blocks et","Export","80380","22764","Weight in kilograms","22764"
"Poland","2011","450310","Corks and stoppers, natural cork","Import","688160","42587","Weight in kilograms","42587"
"Poland","2011","450310","Corks and stoppers, natural cork","Export","71325","6197","Weight in kilograms","6197"
"Poland","2011","450390","Natural cork articles other than corks or stoppers","Import","246194","80908","Weight in kilograms","80908"
"Poland","2011","450390","Natural cork articles other than corks or stoppers","Export","380003","65073","Weight in kilograms","65073"
"Poland","2011","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","9418232","2976524","Weight in kilograms","2976524"
"Poland","2011","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","4433178","1129339","Weight in kilograms","1129339"
"Poland","2011","450490","Articles of agglomerated cork","Import","1614375","232765","Weight in kilograms","232765"
"Poland","2011","450490","Articles of agglomerated cork","Export","623909","133038","Weight in kilograms","133038"
"Poland","2010","450110","Natural cork, raw or simply prepared","Import","110418","10180","Weight in kilograms","10180"
"Poland","2010","450190","Waste cork, crushed, granulated or ground","Import","163097","55910","Weight in kilograms","55910"
"Poland","2010","450190","Waste cork, crushed, granulated or ground","Export","246","1790","Weight in kilograms","1790"
"Poland","2010","450200","Natural cork, debacked, roughly squared, in blocks et","Import","126125","40506","Weight in kilograms","40506"
"Poland","2010","450200","Natural cork, debacked, roughly squared, in blocks et","Export","50927","19374","Weight in kilograms","19374"
"Poland","2010","450310","Corks and stoppers, natural cork","Import","882386","58044","Weight in kilograms","58044"
"Poland","2010","450310","Corks and stoppers, natural cork","Export","62778","7184","Weight in kilograms","7184"
"Poland","2010","450390","Natural cork articles other than corks or stoppers","Import","140055","36987","Weight in kilograms","36987"
"Poland","2010","450390","Natural cork articles other than corks or stoppers","Export","300694","43078","Weight in kilograms","43078"
"Poland","2010","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","7277130","1799416","Weight in kilograms","1799416"
"Poland","2010","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","3019260","864874","Weight in kilograms","864874"
"Poland","2010","450490","Articles of agglomerated cork","Import","1895980","239634","Weight in kilograms","239634"
"Poland","2010","450490","Articles of agglomerated cork","Export","596068","111408","Weight in kilograms","111408"
"Poland","2009","450110","Natural cork, raw or simply prepared","Import","75836","10985","Weight in kilograms","10985"
"Poland","2009","450110","Natural cork, raw or simply prepared","Export","6138","1714","Weight in kilograms","1714"
"Poland","2009","450190","Waste cork, crushed, granulated or ground","Import","103525","24648","Weight in kilograms","24648"
"Poland","2009","450190","Waste cork, crushed, granulated or ground","Export","194","107","Weight in kilograms","107"
"Poland","2009","450200","Natural cork, debacked, roughly squared, in blocks et","Import","262633","97954","Weight in kilograms","97954"
"Poland","2009","450200","Natural cork, debacked, roughly squared, in blocks et","Export","163503","65347","Weight in kilograms","65347"
"Poland","2009","450310","Corks and stoppers, natural cork","Import","1355852","62674","Weight in kilograms","62674"
