D.R. of the Congo,3008982036,3364670659,3711377246,4731137725,5770658683,6155688623,5801199116,7422416813,10536244019,10326110227,9864713763,8720365088,8696673190,7374415086,4436673703,4746211814,5483759494,4675393425,5351558314,9046510866,9353801269,8949731204,8206426931,10707731451,5806790640,5643413751,5775141505,5941477985,6215280238,5537498344,5266959502,5273252329,5544755996,5670128142,6511032844,7191142669,8684145178,9962601024,11668281986,11146992116,13190341186,16052897945,18823047783
Denmark,16590533319,18515451435,22591079430,29961815031,33346568448,39593640966,43675915326,48854845278,59295963018,69161353696,69708847839,60374261243,58936866248,59204865328,57714643897,61203853200,86365556757,107366081980,113230360134,110058787922,135839068604,136694863694,150194661041,140625779570,153594381619,181984696944,184436723008,170436514421,173652454821,173943700331,160081643148,160475824443,173880519423,212622716569,244728114184,257675536234,274376966576,311417554326,343881327748,310544936764,313138782822,333696081134,314888684179
Djibouti,66023093,74616714,89720040,112082073,141072887,156689811,187023085,201458329,220890989,264009318,301185566,319703355,334136090,337590943,357413926,369379373,396329274,408005754,432508481,441270435,456913927,466273541,481591371,482163616,510877161,509631389,496470873,491155238,497751532,536081836,555899415,577495062,596176029,627556676,666212772,708633195,768642985,847918929,982534422,1049234474,1128611700,1237743429,1360877676
Dominica,23044578,25752039,27682791,31800423,38038064,40081172,39086491,43531521,54042185,52996436,70707703,79224355,86203400,95624004,107495029,117948089,134086301,150335292,174250155,187313156,200083702,212176284,229422281,239782287,257777147,262190563,282653568,293181957,310405799,320300534,324425926,330922222,326970370,340774074,366951852,361600000,387703704,418777778,459033333,487774074,481544444,495500000,498789424
Dominican Republic,1832208505,2055329691,2451249534,2892064963,3608544212,4439112512,4873760966,5657706929,5839386035,6782193294,8178273273,8962959272,9823375735,10635936465,12772176870,5536671704,6701527234,6267164027,5721061351,8247211494,9384598816,9724390729,11277699422,12796455709,13893467459,15519538734,16975693155,19236919906,20389796675,21439756337,23655297334,24512175338,24912878009,20044583255,21582198375,33431035092,35779530389,40952679338,45206086322,46485024437,50980195762,55433308748,58897801998
Ecuador,1982604031,1896995218,2219606662,2947660739,4394001384,5103432501,6295828142,7880904824,9063637385,11082368463,13894798399,16515435146,16395551819,15039631337,15388217811,18896821275,13341218386,12466438154,11856205730,11632778078,12654428012,13917260453,14987080070,16938940309,20894815214,22720400176,23926781875,26590483288,26162498590,19008024651,18318601000,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007800000,61762600000,62519700000,69555367000,79779826000,87494698000
Egypt,8142813716,8629234277,9226975132,9589429095,11333916303,12677626556,14974320786,19135598508,23431875159,15615518038,20119009508,13386716603,15609390014,18768597110,21459719650,23608214475,24617233616,27330892280,29774143913,32698933551,35938530749,39199914163,45789045447,50619966005,56527978531,65758036434,73961364055,81571756042,87146298124,91906116309,95683644418,90724340844,86521730139,74076435595,79187405118,94456321807,107741504113,132165346646,164843994478,187977667809,214630247529,231221953608,254670598450
El Salvador,338287990,355787914,379208863,438419130,518945093,589207943,750786181,943022181,1012100825,1132495034,1173284329,1137758169,1179731669,1335783616,1533809064,1885649626,2600383334,3044855069,3600773684,4240770877,4800900000,5311000000,5954700000,6938000000,8085600000,9500500000,10315500000,11134600000,12008400000,12464700000,13134200000,13812700000,14306719309,15046660000,15798286860,17093794094,18550740982,20104890728,21430950600,20661032789,21418300000,23139000000,23864400000
Equatorial Guinea,20269648,21047490,20133083,25611001,27228959,33709668,35018015,38795391,43932606,49677614,53790161,50625475,60077800,67863587,68142978,80246319,99665142,120697159,128248923,112933663,133219577,131777843,160058226,161651263,119778244,166367552,273765599,525990831,441023332,738008314,1177426875,1694999632,2086501438,2753558389,4774439764,7205504354,8552517858,10840991257,14549445142,10127373652,12386219697,13546870201,14490509740
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338004788,387742425,437822079,505071488,630766973,639723720,748455449,782065820,809308957,793700799,706370812,752371682,729321669,870248292,1109054002,1098424709,1211161879,1317974493,1380188800,1856695550,2117039511,2608734757,3107984172
