"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Jamaica","2009","460290","Basketwork and wickerwork products, non-vegetable","Re-Export","212","108","Weight in kilograms","108"
"Jamaica","2008","460120","Mats, matting and screens, vegetable plaiting materia","Import","36300","4392","Weight in kilograms","4392"
"Jamaica","2008","460191","Plaited vegetable material articles not mats or scree","Import","11222","808","Weight in kilograms","808"
"Jamaica","2008","460191","Plaited vegetable material articles not mats or scree","Export","321","69","Weight in kilograms","69"
"Jamaica","2008","460191","Plaited vegetable material articles not mats or scree","Re-Export","12","8","Weight in kilograms","8"
"Jamaica","2008","460199","Products of non-vegetable plaiting materials","Import","31034","2312","Weight in kilograms","2312"
"Jamaica","2008","460210","Basketwork, wickerwork products of vegetable material","Import","248044","41939","Weight in kilograms","41939"
"Jamaica","2008","460210","Basketwork, wickerwork products of vegetable material","Export","480","20","Weight in kilograms","20"
"Jamaica","2008","460290","Basketwork and wickerwork products, non-vegetable","Import","181754","28588","Weight in kilograms","28588"
"Jamaica","2008","460290","Basketwork and wickerwork products, non-vegetable","Export","280","10","Weight in kilograms","10"
"Jamaica","2007","460120","Mats, matting and screens, vegetable plaiting materia","Import","20224","2840","Weight in kilograms","2840"
"Jamaica","2007","460191","Plaited vegetable material articles not mats or scree","Import","2189","369","Weight in kilograms","369"
"Jamaica","2007","460191","Plaited vegetable material articles not mats or scree","Export","60","2","Weight in kilograms","2"
"Jamaica","2007","460199","Products of non-vegetable plaiting materials","Import","11481","832","Weight in kilograms","832"
"Jamaica","2007","460210","Basketwork, wickerwork products of vegetable material","Import","217960","50779","Weight in kilograms","50779"
"Jamaica","2007","460210","Basketwork, wickerwork products of vegetable material","Export","769","78","Weight in kilograms","78"
"Jamaica","2007","460290","Basketwork and wickerwork products, non-vegetable","Import","147181","36798","Weight in kilograms","36798"
"Jamaica","2007","460290","Basketwork and wickerwork products, non-vegetable","Export","120","3","Weight in kilograms","3"
"Jamaica","2006","460120","Mats, matting and screens, vegetable plaiting materia","Import","29204","12885","Weight in kilograms","12885"
"Jamaica","2006","460120","Mats, matting and screens, vegetable plaiting materia","Export","95","37","Weight in kilograms","37"
"Jamaica","2006","460191","Plaited vegetable material articles not mats or scree","Import","857","77","Weight in kilograms","77"
"Jamaica","2006","460199","Products of non-vegetable plaiting materials","Import","23368","1220","Weight in kilograms","1220"
"Jamaica","2006","460210","Basketwork, wickerwork products of vegetable material","Import","147882","57417","Weight in kilograms","57417"
"Jamaica","2006","460210","Basketwork, wickerwork products of vegetable material","Export","1177","189","Weight in kilograms","189"
"Jamaica","2006","460210","Basketwork, wickerwork products of vegetable material","Re-Export","124","127","Weight in kilograms","127"
"Jamaica","2006","460290","Basketwork and wickerwork products, non-vegetable","Import","174309","31025","Weight in kilograms","31025"
"Jamaica","2006","460290","Basketwork and wickerwork products, non-vegetable","Export","854","9485","Weight in kilograms","9485"
"Jamaica","2006","460290","Basketwork and wickerwork products, non-vegetable","Re-Export","120","9461","Weight in kilograms","9461"
"Jamaica","2005","460120","Mats, matting and screens, vegetable plaiting materia","Import","35178","4991","Weight in kilograms","4991"
"Jamaica","2005","460191","Plaited vegetable material articles not mats or scree","Import","266","28","Weight in kilograms","28"
"Jamaica","2005","460199","Products of non-vegetable plaiting materials","Import","49441","1904","Weight in kilograms","1904"
